Artist,Album,Format,Label,Quantity,PhotoURL,More_Info
Big Star,Complete Third: Vol 3: Final Masters,2 x LP,Omnivore Recordings,2500,http://recordstoreday.com/Photo/418458059889:284,"Complete Third was years in the making, and its eventual CD release saw it appear on countless ""Best of 2016"" lists. The vinyl volumes of Complete Third began rolling out at the end of last year with Vol. 1: Demoes to Sessions To Roughs arriving in November and Vol. 2: Roughs To Mixes in February 2017. Now, Vol. 3: Final Masters is here to complete the trilogy. The double LP contains every released master recording from every officially released version of Third on 3 sides of vinyl. As an added bonus, the CD version's hidden track ( a previously issued strings and vocals only mix of ""Thank You Friends"") takes its place on a specially etched Side Four. A download card is included containing the audio for Vol. 3 and the complete liner notes and booklet as a PDF. To make Vol. 3 even more special, it is available in a limited edition slipcase with room for VOls 1 and 2 (which are sold separately) for Record Store Day 2017. Plus, it contains a 20 page, full color, LP sized booklet with all of the notes, photos and commentary from the CD set. This is a unique and beautiful way to house and display the three vinyl components. The third time is the charm to complete Complete Third on vinyl."
Blind Mr. Jones,Stereo Musicale (Expanded),"2 x LP + 7""",Graveface Records,1500,http://recordstoreday.com/Photo/418458059978:284,"2XLP + 7"" featuring every single song this seminal shoegaze band recorded surrounding their masterpiece, Stereo Musicale, including said record itself. Featuring several tracks that have never been available on vinyl before. Every track has been remastered for vinyl. Some guest appearances by Neil Halstead (Slowdive) and Jonny Greenwood (Radiohead). Vinyl includes extensive liner notes and ephemera from their short lived career. "
Blitzen Trapper,Unreleased Recordings Series: Waking Bullets at Breakneck Speed,LP,Lidkercow,1400,http://recordstoreday.com/Photo/418458059948:284,"Waking Bullets At Breakneck Speed is the first volume of Blitzen Trapper's Unreleased Recordings Series. It was recorded at the Telegraph Building in Portland, OR during the Wild Mountain Nation and Furr sessions circa 2006."
David Bowie,BOWPROMO,Vinyl Box Set,Parlophone,5000,http://recordstoreday.com/Photo/418458059828:284,"In August 1971, David Bowie's manager, Tony Defries had 500 promo LPs pressed to secure Bowie and fellow Mainman artist Dana Gillespie a record deal. This promo album, featuring seven Bowie songs on one Side A and five by Gillespie on the flip is often referred to as the BOWPROMO white label album. It came in generic white outer and inner sleeves, and had no printed labels so its matrix number (BOWPROMO 1A-1/1B-1) is the only way to safely identify it. This Record Store Day release faithfully replicates the original promo, with Bowie's seven tracks on one side, and adds five exclusive Bowie prints. (Limited worldwide release of 15,000.) "
David Bowie,Cracked Actor (Live Los Angeles '74),3 x LP,Parlophone,5000,http://recordstoreday.com/Photo/418458059859:284,"A previously unreleased live recording from Los Angeles on 5th September, 1974. This was a pivotal gig in the transition between the Diamond Dogs tour and the Philly Dogs tour. Produced by David Bowie and mixed by Tony Visconti at Human Studios, NYC in October/November 2016. 3 LP set with etching on sixth side. (Limited worldwide release of 17,000.) "
Brother Ali,The Undisputed Truth,3 x LP,Rhymesayers,1500,http://recordstoreday.com/Photo/418458059914:284,"Limited edition 3 x color LP containing original album and bonus disc featuring b-sides, unreleased tracks, and a set of 4-track recorded demos never before released. Full color tri-fold LP jacket with matte UV + Spot gloss finish, 12-page LP lyric & photo booklet, 3x color vinyl, & free digital download card."
Danny Brown,Ain't It Funny,"10"" Picture Disc",Warp Records,1300,http://recordstoreday.com/Photo/418458061077:284,"Following his widely acclaimed third album, Atrocity Exhibition, Danny Brown is back for Record Store Day serving up this gorgeous 10"" picture disc with artwork by the Braindead collective. Side A features album cut and fan favorite ""Ain't it Funny"", which was recently featured in the trailer for Dragon Ball Z Super. The B-side features Danny's Clams Casino collaboration ""Worth It"", appearing on vinyl for the first time."
Bullet For My Valentine,Don't Need You,"10"" Vinyl",Spinefarm,1530,http://recordstoreday.com/Photo/418458060504:284,"New track from Bullet For My Valentine on red translucent wax and logo etched b-side in 10"" format. This will be the only phsyical release of this song available and will not be on their upcoming full length"
R.L. Burnside,Long Distance Call,LP,Fat Possum Records,2500,http://recordstoreday.com/Photo/418458060008:284,"For the first time, the 1982 recordings in Groningen, Netherlands with Leo Bruin have arrived on vinyl. Here you find R.L. Burnside, alone with only his guitar and his voice. Showing off his skills even in his younger days, in the vein of John Lee Hooker and Fred McDowell."
The Cadillac Three,Live at Abbey Road,"10"" Vinyl",Big Machine Records,1500,http://recordstoreday.com/Photo/418458060537:284,Live recording from Abbey Road studios in London
The Cars,"Live at the Agora, 1978",2 x LP,Elektra Catalog Group,4000,http://recordstoreday.com/Photo/418458059867:284,"The Cars Live at the Agora was recorded at the Agora Ballroom in Cleveland, OH on July 18, 1978, right after The Cars' first blush of success with the singles ""Just What I Needed"" and ""My Best Friend's Girl"". This never-before-released live show captures The Cars' early vitality and fierce energy. Side D contains a custom ""tire tread"" etching designed by Cars drummer David Robinson."
Johnny Cash,Children's Album,LP,Sony Legacy,3000,http://recordstoreday.com/Photo/418458060046:284,"The Johnny Cash Childrenês Album showcased a lighter side of The Man in Black. Released in 1975, this LP featured lighthearted songs like –Nasty Dan” (written by Sesame Street writer Jeff Moss and first performed by Cash on the classic childrenês program), the original –I Got a Boy (and His Name is John)” (written about Cashês only son, John Carter Cash, who contributes liner notes to this reissue) and –Old Shep,” famously recorded by Elvis Presley in 1956. Available on vinyl for the first time in more than 40 years, The Johnny Cash Childrenês Album is good country fun for the whole family."
Cheap Trick,The Epic Archive Vol. One,2 x LP,Real Gone Music,1470,http://recordstoreday.com/Photo/418458059905:284,"Consisting of single mixes/edits, soundtrack, non-LP tracks and other rarities, this yellow vinyl double LP presents eighteen rarities from the early years of this seminal power pop band. Liner notes by Ken Sharp feature track-by-track annotation by Bun E. Carlos, and the package will feature photos from band photographer Bob Alford."
Vic Chesnutt,West of Rome,2 x LP,New West Records,1500,http://recordstoreday.com/Photo/418458059904:284,"New West Records is proud to present Vic Chesnutt's second studio album West of Rome. Meticulously remastered and pressed on vinyl for the very first time, West of Rome is widely regarded by fans and hailed by critics as Chesnutt's best record. Originally produced by R.E.M.'s Michael Stipe, this vinyl pressing features an alternate tracklisting curated by Vic and Stipe in which ""Latent/Blatant"" no longer kicks off the album and is moved to the bonus tracks. In addition, the closing instrumental which was ""hidden"" in the original release is now titled ""Little Fugue"" and has been resequenced as the fourteenth track. West of Rome's two studio outtakes, ""Nathan"" and ""Where's The Clock"" appear in the bonus tracks. Also included are four-track demos and live versions of songs from the same time period. This pressing is West of Rome as it was meant to be."
Brandy Clark,Live From Los Angeles,LP,Warner Bros.,2500,http://recordstoreday.com/Photo/418458059844:284,"Previously unreleased recording, live from the Hotel Cafe featuring Brandy in pared down, intimate setting with only a guitarist accompanying her."
The Claypool Lennon Delirium,Lime and Limpid Green,"10"" Vinyl",ATO Records,3030,http://recordstoreday.com/Photo/418458060573:284,"The Claypool Lennon Delirium covers Pink Floyd, King Crimson, The Who, and Travellin Flower Band on this four song llive EP on mixed bright green vinyl 10""."
Inna Baba Coulibaly Ft Ali Farka Toure,Sahel,"10"" Vinyl",KARTEL/World Circuit,N/A,http://recordstoreday.com/Photo/418458059981:284,Previously unreleased Ali Farka Toure recording
The Count Five,Psychotic Reaction,"12"" Vinyl",Concord Bicycle,1500,http://recordstoreday.com/Photo/418458060516:284,Reissue of rare MONO edition of the garage rock classic from 1966 pressed on 180-gram vinyl.
David Crosby and the Lighthouse Band,The David Crosby and the Lighthouse Band Record Store Day 10th Anniversary Record,"12"" Vinyl",Record Store Day,2500,http://recordstoreday.com/Photo/418458059946:284,"Four songs performed on NPR's World Cafe on December 8th, 2016 and pressed as the official RSD 10th Anniversary Record. The Lighthouse band features David Crosby, Michael League (Snarky Puppy), Becca Stevens, and Michelle Willis. Limited to 2500 copies."
The Cure,Greatest Hits,2 x LP Picture Disc,Elektra Catalog Group,3250,http://recordstoreday.com/Photo/418458059878:284,"Limited edition double picture discs of The Cure's Greatest Hits. Featuring their best known tracks, including ""Love Song"", ""Friday I'm In Love"" ""Never Enough"", ""Mint Car"" and many more. Curated and remastered by Robert Smith. On vinyl for the very first time for Record Store Day 2017."
The Cure,Greatest Hits Acoustic,2 x LP Picture Disc,Elektra Catalog Group,3250,http://recordstoreday.com/Photo/418458059876:284,"Limited edition double picture discs of The Cure's Greatest Hits performed acoustically. Featuring their best known tracks, including ""Love Song"", ""Friday I'm In Love"" ""Never Enough"", ""Mint Car"" and many more. Curated and remastered by Robert Smith. On vinyl for the very first time for Record Store Day 2017."
Miley Cyrus,Bangerz,2 x LP,RCA,1300,http://recordstoreday.com/Photo/418458060039:284,Double hot pink vinyl set of Bangerz
Czarface,First Weapon Drawn (A Narrated Adventure),LP / Comic,Silver Age,2000,http://recordstoreday.com/Photo/418458059998:284,"The first weapon drawn in a conflict is language, but the first weapon drawn for Czarface is music. Wu-Tang Clan's Inspectah Deck & Esoteric carved a niche for Czarface with venomous vocals, but the musical production is their super power. Powered by the trademark sound of 7L and Todd Spadafore (The Czar-Keys), a sound that's been developed since Czarface's first LP in 2013, First Weapon Drawn serves as the soundtrack to Czarface's mysterious origin. Fresh off of their collaboration with Marvel Comics, Czarface has not only delivered a new audio adventure complete with narration, it has given us an extra large, full color, action-packed 24 page comic book with it, housed in a beautiful gatefold jacket! In the spirit of the highly sought after Power Records series from the 70's, you can read along with the comic and hear the story come to life on vinyl."
Deee-Lite,Groove Is In The Heart/What is Love?,"12"" Vinyl",Elektra Catalog Group,3000,http://recordstoreday.com/Photo/418458059866:284,"Groove Is In The Heart was originally released in 1990 and has never been released since; with its marvelous combination of modern classic dance sheen, funk and singer Lady Miss Kier's diva attitude, the single defined the summer of 1990 on MTV and radio. Released on pink vinyl for Record Store Day 2017. "
The Dillinger Escape Plan,Instrumentalist,"7"" Vinyl",Inc/Cooking Vinyl,2000,http://recordstoreday.com/Photo/418458060010:284,"Limited edition white 7"" featuring instrumental and remix versions of songs from their 2016 release, Dissociation. These versions have never been released and will be exclusive to this Record Store Day 2017 piece."
The Distillers,Coral Fang,LP,Rhino/Warner Bros.,2500,http://recordstoreday.com/Photo/418458059868:284,"The Distillers' third and last studio album was also their debut on a major label. Released in 2003, it features some of the best jagged punk-pop in ""Drain The Blood"" and ""Beat Your Heart Out"", beautifully bruising ballads like ""Tonight You're Only Hear To Know"" and some of the Distillers' best songs, such as ""The Hunger"" and ""The Gallow is God"". The LP is long out of print and heavily sought after by fans of the band's leader, Brody Dalle. The original release of this record was limited to a quantity of 1000 with artwork that was featured on only on that version, until now. Our RSD release revisits the artwork with the original photographic design and printed cover insert."
The Doors,Live at the Matrix '67,LP,Elektra Catalog Group,4500,http://recordstoreday.com/Photo/418458059873:284,"The Doors' Live At The Matrix was recorded on March 7, 1967 in San Francisco. Newly mastered by Bruce Botnick, the historic engineer for The Doors, from recently discovered original master tapes. Celebrating 50 years of The Doors, Live at the Matrix is now on vinyl for the very first time, exclusively for Record Store Day 2017."
Drive-By Truckers,Electric Lady Sessions,"12"" Vinyl",ATO Records,3530,http://recordstoreday.com/Photo/418458060506:284,Seven live tracks recorded at Electric Lady Studios exclusive to this clear vinyl release.
Steve Earle and the Dukes,Live,"7"" Vinyl",Warner Bros.,2800,http://recordstoreday.com/Photo/418458059845:284,"A two song single for Record Store Day, featuring live versions of Waylon Jennings' ""Are You Sure Hank Done It This Way"" and his own ""Fixin To Die""."
The Easybeats,Vigil,LP,Varese,2200,http://recordstoreday.com/Photo/418458060517:284,"Vigil was originally released in 1968 as the Easybeats follow-up to their UK album, Good Friday. The North American release of Vigil, however, was re-titled Falling Off The Edge Of The World and issued with a different album cover and running order.  This very rare album has been unavailable on vinyl for about 40 years and is being released as Vigil for the first time in the U.S. The album features –Bring A Little Lovin,” –Good Times” and –Falling Off the Edge of the World.”   "
"Emerson, Lake & Palmer",Brain Salad Surgery,"7"" Vinyl",BMG,1500,http://recordstoreday.com/Photo/418458059912:284,"Replica of sought after 1973 NME covermount flexi-disc, imported from the UK for Record Store Day 2017"
Bill Evans,Another Time: The Hilversum Concert,LP,Resonance Records,2000,http://recordstoreday.com/Photo/418458060082:284,"Another Time: The Hilversum Concert is a rare, never-before-issued recording of the legendary Bill Evans trio featuring Eddie Gomez on bass and Jack DeJohnette on drums captured live at the NRU (Netherlands Radio Union) Studios in Hilversum in 1968. This is only the third known recording in existence of this particular trio. The tapes have laid dormant for nearly 50 years. This deluxe LP will include rare photos, essays and interviews. 180g black vinyl."
Marianne Faithfull,Rich Kid Blues,LP,AEC Imports/Demon,2000,http://recordstoreday.com/Photo/418458059977:284,"Produced by Mike Leander, who had produced and arranged much of Faithfullês Decca material, Rich Kid Blues is an intriguing album of spare, largely acoustic readings of folk/rock songs, including several Bob Dylan covers, as well as songs by Phil Ochs, George Harrison, Cat Stevens, Tim Hardin, James Taylor and Sandy Denny. Marianne Faithfull had this to say about the 1971 recordings: –The record itself is very strange and ghostly. Itês the voice of somebody incredibly high, probably on the edge of death. They always sound like that. Johnny Thunders sounds like that. Anybody who heard that record would have said, •Well thatês that. Weêll never hear from her againê.” Recorded in 1972, but not released until 1985, this silver vinyl reissue brings it back into print for Record Store Day. "
Dylan Gardner/The Flaming Groovies,Shake Some Action Side By Side,"7"" Vinyl",Warner Bros.,N/A,http://recordstoreday.com/Photo/418458059849:284,"Continuing in the now-classic Side By Side Series for Record Store Day 2017, this single features both The Flamin Groovies and Dylan Gardner taking on ""Shake Some Action"" on a red/blue swirl vinyl 7""."
Fleetwood Mac,Alternate Mirage,LP,Rhino/Warner Bros.,3500,http://recordstoreday.com/Photo/418458059803:284,"An album of alternate takes from the Mirage Deluxe edition, originally released in 2016. Includes the early versions of Mirage favorites ""Gypsy"", ""Hold On"" and ""Oh Diane"". Previously released only on CD, first time on vinyl."
Ben Folds w/ West Australian Symphony Orchestra,Live in Perth,2 x LP,Sony Legacy,2000,http://recordstoreday.com/Photo/418458060044:284,"Recorded live over two nights in Australia in 2005, Live in Perth features Ben Folds in collaboration with The West Australian Symphony Orchestra for an orchestral take on favorites from his witty pianopop discographyãhis first of many performances with orchestras all over the world. Previously only available on DVD, Live in Perth will be available as a 2LP set that features two previously unreleased recordings from the concerts."
Frank n Dank & Jay Dee,The Jay Dee Tapes,"10"" Vinyl",Delicious Vinyl,1500,http://recordstoreday.com/Photo/418458059999:284,"Frank Nitt and Dankery Harv - or just Frank n Dank - knew J. Dilla before you. But don't feel bad, they knew Dilla before anyone knew Dilla. When Dilla was still in Detroit, before he was known as J Dilla. Before he'd even stepped foot in LA. From their personal vault, Frank n Dank bring you these cuts from their years working with Dilla, including complete instrumentals, presented in a 10"" red vinyl pressing."
The Germs,Lexicon Devil,"7"" Vinyl",Blank Recording Company,2000,http://recordstoreday.com/Photo/418458060743:284,"First wave Los Angeles punk rock royalty THE GERMS need no introduction to anyone who should care.Their star shone extremely strong for an incredibly short time before their demise.A star that still shines in the aftermath of their end. THE GERMS are still influential to those who came after and ran with the punk rock baton. Lexicon Devil was THE GERMS' second single and the first ever release for the legendary Slash label. This reissue is replicating the original 1978 version. This edition will be made available in the same four sleeve color variations as the original with matching colored vinyl (in red, pink, yellow and orange with each color being limited to 500 for a grand total of 2000 copies). On this reissue the lyrics will be printed on the inner sleeve as opposed to other side of the sleeve like on the original."
Brantley Gilbert,The Devil Don't Sleep,LP,The Valory Music Co.,1500,http://recordstoreday.com/Photo/418458060515:284,A Record Store Day release that combines five live tracks with five unreleased demos.
Dexter Gordon,Walk The Blues,"12"" Vinyl",ORG Music,1750,http://recordstoreday.com/Photo/418458059902:284,"During a two day period (July 20-21, 1967) tenor-saxophonist Dexter Gordon and his quartet recorded multiple albums worth of material at one of Gordon's favorite venues, the legendary Jazzhus Montmartre in Copenhagen. The results are are undoubtedly among his finest European recordings. This record, Walk The Blues, is pulled from the second night of recording, and finds Dexter in an expansive, relaxed mood in front of an appreciative audience. These brilliant recordings will now make their vinyl debut on this 180g audiophile-grade LP, pressed at Pallas in Germany. This limited edition color vinyl pressing is available exclusively for Record Store Day 2017."
Greg Graffin,Cold As The Clay,LP,ANTI-,1500,http://recordstoreday.com/Photo/418458059898:284,"When first released in July of 2006, Greg Graffin's Cold as The Clay may have seemed a world apart from his punk rock roots as singer and founding member of Bad Religion. But the classic American music that Graffin pays homage to here, in both carefully chosen covers and in his own songwriting, forms the backbone of Bad Religion's epic tales of the young and the poor, mired by misery and poverty. Cold as the Clay honors the traditional folk music that Graffin grew up listening to, with original rock compositions that drew inspiration from the folk rock of Gram Parsons and Neil Young, as well as traditional American Folk music. The album was produced by Brett Gurewitz and features guest performances by singer Jolie Holland and The Wearkerthans as backing musicians. In celebration of both the 10th anniversary of this release and the 10th Record Store Day, Cold as the Clay will be pressed on LP for the first time, in a limited run of metallica gold vinyl."
Grateful Dead,"P.N.E. Garden Auditorium, Vancouver, British Columbia, Canada 7/29/66",2 x LP,Grateful Dead Production,4000,http://recordstoreday.com/Photo/418458059874:284,"P.N.E. Garden Auditorium, Vancouver, British Columbia, Canada 7/29/66 marks Grateful Dead's debut performance outside of the United States. Their complete July 29, 1966 performance is being released in a limited edition, 2-LP, 180 gram vinyl-set, with four bonus tracks from the ensuing 7/30 performance at the same venue. Original cover art by Canadian poster artist Bob Masse, the iconic '60s poster artist who has designed original works for artists such as Jefferson Airplane, Janis Joplin, Jimi Hendrix, The Doors, David Bowie, Fleetwood Mac, Steve MillerBand, No Doubt, Fiona Apple & Smashing Pumpkins to name a few. The show was mastered from the original audio recordings by GRAMMY-winning sound engineer Jeffrey Norman at Mockingbird Mastering in Petaluma, CA. This audio was first made available in January, 2016 as the bonus disc in the 2-CD The Grateful Dead (50th Anniversary Deluxe Edition) as it features most of the tracks that would make their way on to the first official Grateful Dead album. This is the only stand-alone release for this content."
Buddy Guy,Sick With Love,"10"" Vinyl",RCA,2000,http://recordstoreday.com/Photo/418458060040:284,"10"" single with two brand new songs exclusive to this RSD release"
Hawkwind,Best of the United Artists Years,LP,ORG Music,2500,http://recordstoreday.com/Photo/418458059917:284,"Best of United Artists Years: 1971-1974 compiles the some of the best recordings from space-rock pioneers Hawkwind's earliest and, arguably, most compelling material. The record also features some rare and alternate versions of songs from the band's studio albums of that era, like ""Silver Machine (Live at Roundhouse 1971)"". This limited edition pressing on swirl color vinyl is exclusively available for Record Store Day 2017. The album was pressed at Pallas Group in Germany on audiophile-grade vinyl."
Mayer Hawthorne,Party of One,LP,BMG,1500,http://recordstoreday.com/Photo/418458059911:284,"The first physical release of Mayer's 2016 digital EP, pressed on luminescent aquamarine vinyl."
Jimi Hendrix (Curtis Knight),"Live at George's Club 20, 1965 & 1966",2 x LP,Sony Legacy,3000,http://recordstoreday.com/Photo/418458060052:284,"Live At George's Club 20 collects raw amateur live recordings of Jimi Hendrix performing with Curtis Knight, made in December 1965 and January 1966, just months before his discovery in Greenwich Village by Animals bassist Chas Chandler. These raucous blues and soul recordings represent the closest approximation of what Chandler heard when he first spotted Hendrix at the Caf_ Wha?. Never before officially released in America, Jimiês primal guitar, compelling voice and engaging persona are evident throughout spirited versions of classics by Muddy Waters, Jimmy Reed, Ray Charles and others. This specially priced, two LP offering from Dagger Records, the official bootleg label created by Experience Hendrix, presents the original recordings restored by Eddie Kramer and free of various overdubs and excess manipulation present on earlier, unsanctioned releases."
Jason Isbell and the 400 Unit,Welcome to 1979,"12"" Vinyl",Thirty Tigers,4000,http://recordstoreday.com/Photo/418458060003:284,"Live recordings direct cut to acetate at Nashville studio Welcome To 1979. 12"", tip-on style, simple sleeve jacket, white dust sleeve."
Jane's Addiction,Been Caught Stealing,"12"" Vinyl",Rhino/Warner Bros.,3500,http://recordstoreday.com/Photo/418458059821:284,"Originally released in 1990 in conjunction with the Ritual De Lo Habitual album, ""Been Caught Stealing"" was a massive hit for Jane's Addiction. This 4 track replicates the original European 12"" release and contains the album version and a remix of ""Been Caught Stealing"" plus ""L.A. Medley"" which includes Woman"" (The Doors), ""Nausea"" (X) and ""Lexicon Devil"" (The Germs)."
Elton John,17-11-70,2 x LP,UMC/USM/Mercury,4000,http://recordstoreday.com/Photo/418458082015:284,"For Record Store Day 2017, an expanded two LP edition of the 1970 live session at A&R Studios in New York. Originally released in 1971, 17-11-70 was Elton John's first ever live album. Presented here in a new expanded edition, LP 1 features the original album, remastered in 2016 by Bob Ludwig, with seven additional tracks--six previously unreleased songs mixed by longtime Elton John collaborator matt Still in Atlanta plus the 1995 bonus track ""Amoreena"". "
Robert Johnson,The Complete Recordings: The Centennial Collection,3 x LP,Sony Legacy,2500,http://recordstoreday.com/Photo/418458060050:284,"In 1936 and 1937, Robert Johnson recorded two sessions of Delta blues that would profoundly shape the course of rock music over the 20th century. The Complete Recordings: The Centennial Collection is the ultimate document of these groundbreaking sessions. All 42 known recordings are exquisitely remastered on 3 LPs, packaged in a limited edition deluxe gatefold jacket including extensive liner notesãthe first time Johnsonês complete recorded works are available in one vinyl package. This set also includes an exclusive bonus poster featuring the original labels of Johnsonês 78 RPM singles, released 80 years ago by early 20th century labels like Vocalion, Orion, Conqueror and others."
Sharon Jones with the E.L. Fields Gospel Wonders,"""Heaven Bound"" b/w ""Key To The Kingdom""","7"" Vinyl",Daptone Records,2500,http://recordstoreday.com/Photo/418458061072:284,"Introducing the very first Gospel Funk recordings by Sharon Jones from the late '70s with E.L. Fields and The Gospel Wonders. Original composition and lead vocals by Sharon Jones. Pressed on Daptone Records' reissue subsidiary, EVER-SOUL Records. Packaging features a 'picture frame' custom jacket with easel-back + a double-sided photo featuring Sharon Jones' High School Portrait on one side and Sharon Jones with the Gospel Wonders on the other."
Trevor Jones,The Dark Crystal: The Original Soundtrack,LP,Enjoy The Ride,1500,http://recordstoreday.com/Photo/418458060433:284,"35th Anniversary Vinyl Reissue 1st time available on vinyl since the original films' release Richard Amsel designed poster used as vinyl album cover for the 1st time Pressed on 140 gram ""Crystal Clear"" vinyl. Upgraded 400gsm thick Lp Jacket Limited worldwide pressing of 2000 copies. The Dark Crystal: The Original Sound Track features Trevor Jones' musical score written for the film, arranged specifically for an album listening experience. The album was recorded by the London Symphony Orchestra at the legendary Abby road studios in 1982. The album has been reissued on CD in various countries throughout the last 35 years, but this is the first vinyl reissue since the film's original release."
Ken Kesey,The Acid Test,LP,Jackpot Records,2000,http://recordstoreday.com/Photo/418458059950:284,"Originally released in 1966 in a pressing of less than 500, this live-in-the-studio recording was intended to recreate the live acid test shows for listeners. Gratedul Dead and Ken Babb were in attendance at the recording, and this new release will have liner notes by Babb."
The Kinks,All Day And All Of The Night,EP,BMG,2500,http://recordstoreday.com/Photo/418458059802:284,"Reissue of French EP from 1964. Never available in the U.S., out of print since 1964."
The Kinks,Got Love If You Want It,"7"" Vinyl",BMG,2500,http://recordstoreday.com/Photo/418458059907:284,"Reissue of French EP from 1965. Never available in the U.S., out of print since 1965."
